                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7932,                 2.6388,                 1.2507,                 1.0513,                0.72576,                0.57679,                0.60294,                0.34599,                0.69562,                0.55442,                0.56761,                0.25001,                 1.5199,                 2.1391,                 1.0345,                0.99278,             0.00066438,             0.00066438,             0.00066438
                      1,                 1.7159,                 2.4684,                 1.1047,                 1.0283,                 0.6967,                0.56191,                0.60217,                0.31331,                0.66041,                0.51613,                0.54393,                0.20714,                 1.7361,                 2.2089,                 1.0561,                  1.038,              0.0012432,              0.0012432,              0.0012432
                      2,                 1.7049,                 2.4476,                 1.0384,                 1.0166,                0.73092,                0.59034,                0.63105,                0.34925,                0.71208,                0.55533,                0.59086,                0.25682,                   1.59,                 2.0252,                 1.0016,                 1.0039,               0.001734,               0.001734,               0.001734
                      3,                 1.7226,                 2.4482,                 1.0271,                 1.0156,                0.75345,                 0.6051,                0.64699,                0.36668,                0.72731,                0.58545,                0.61592,                0.29745,                 1.5421,                 2.0778,                0.97396,                0.98807,               0.001604,               0.001604,               0.001604
                      4,                 1.6829,                 2.3852,                 1.0171,                 1.0083,                0.77367,                0.62271,                0.67062,                0.39176,                 0.7414,                0.59419,                0.63332,                 0.2865,                 1.4815,                 1.9455,                0.91803,                 0.9763,               0.001604,               0.001604,               0.001604
                      5,                 1.6046,                 2.1038,                 1.0319,                 1.0155,                0.75291,                0.60168,                 0.6522,                0.36045,                0.72347,                0.56648,                0.60327,                0.25949,                 1.5877,                 2.1452,                 1.0311,                0.99828,               0.001472,               0.001472,               0.001472
                      6,                 1.5866,                  2.076,                 1.0204,                 1.0001,                0.76631,                0.62341,                  0.666,                0.37546,                0.72895,                0.59302,                0.61974,                0.27356,                 1.5703,                 1.9366,                0.93484,                0.98624,                0.00134,                0.00134,                0.00134
                      7,                 1.5578,                 1.9905,                0.98078,                 1.0053,                0.78009,                0.63885,                0.68524,                0.40482,                0.75717,                  0.607,                0.64742,                0.29634,                  1.486,                   1.91,                0.87908,                 0.9723,               0.001208,               0.001208,               0.001208
                      8,                 1.5454,                 1.9927,                0.96068,                 0.9958,                0.74179,                 0.5941,                0.63754,                0.34203,                0.70211,                0.55965,                0.58761,                0.22997,                 1.6158,                 2.0651,                 0.9827,                0.99949,               0.001076,               0.001076,               0.001076
                      9,                 1.5117,                 1.9561,                0.92886,                0.99296,                 0.7741,                0.62949,                0.67992,                0.39418,                0.75337,                0.60133,                0.64736,                0.29459,                 1.4871,                 1.8978,                0.90539,                0.97296,               0.000944,               0.000944,               0.000944
                     10,                 1.5285,                 1.9353,                0.90311,                0.99202,                0.77334,                0.61286,                0.66897,                0.36565,                0.73817,                0.57891,                0.62304,                0.25293,                 1.6287,                 1.9459,                 0.9107,                0.99843,               0.000812,               0.000812,               0.000812
                     11,                 1.4857,                 1.8927,                  0.881,                0.98063,                0.78753,                 0.6411,                0.69729,                0.41215,                0.76159,                0.61475,                 0.6598,                0.30303,                 1.4308,                 1.8408,                0.87003,                0.96147,                0.00068,                0.00068,                0.00068
                     12,                 1.4803,                 1.9123,                0.86606,                0.97897,                0.78976,                0.63333,                0.69012,                0.39094,                0.75734,                0.60172,                0.64592,                0.27099,                 1.5609,                 1.9041,                0.88709,                0.98034,               0.000548,               0.000548,               0.000548
                     13,                  1.452,                 1.8708,                0.84698,                0.98053,                0.78888,                0.64911,                0.70335,                0.41795,                0.76915,                0.61324,                0.66544,                 0.2985,                 1.4534,                 1.8377,                0.84044,                0.96239,               0.000416,               0.000416,               0.000416
                     14,                 1.4372,                 1.8366,                 1.0107,                0.96614,                0.79035,                0.65416,                0.70411,                0.42537,                0.76963,                0.62576,                0.67057,                0.31067,                 1.4334,                  1.816,                 0.8287,                0.95398,               0.000284,               0.000284,               0.000284
