                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1985,                 3.6948,                  2.492,                 1.1592,                0.64287,                  0.413,                0.48262,                0.24978,                0.57378,                0.37088,                0.41921,                0.14207,                 1.9012,                 3.1636,                 1.5067,                 1.1043,                 0.0006,                 0.0006,                 0.0006
                      1,                 1.8358,                 2.8587,                  1.155,                  1.021,                0.52484,                 0.4913,                0.38121,                0.19288,                0.49434,                0.42674,                0.33019,                0.11033,                 1.9327,                 4.7826,                 4.8406,                 1.1468,              0.0011395,              0.0011395,              0.0011395
                      2,                 1.9502,                 3.0213,                 1.0817,                 1.0636,                0.38638,                0.41529,                0.28919,                0.12533,                0.40494,                0.31044,                0.24139,                0.07972,                 2.3297,                 4.3165,                 3.6633,                 1.2668,              0.0015971,              0.0015971,              0.0015971
                      3,                 1.9563,                 2.9165,                 1.1433,                  1.082,                 0.2273,                0.37088,                0.14966,                0.07734,                0.21829,                0.36081,                0.14195,                0.07684,                 1.9232,                 17.553,                    inf,                 1.2833,               0.001604,               0.001604,               0.001604
                      4,                 1.8237,                  2.733,                 1.0291,                 1.0277,                0.63328,                0.40064,                0.46142,                0.22941,                0.63955,                0.34661,                    0.4,                0.17507,                 1.9962,                 4.2896,                  1.178,                 1.1495,               0.001604,               0.001604,               0.001604
                      5,                 1.6444,                 2.5961,                 1.0025,                 1.0081,                0.76373,                0.44963,                0.55002,                0.30783,                0.75397,                0.41758,                0.51344,                0.25068,                 1.7963,                 3.2277,                 1.1193,                 1.0789,               0.001472,               0.001472,               0.001472
                      6,                 1.6477,                 2.5719,                 0.9719,                 1.0225,                0.72222,                0.52261,                0.58617,                0.33422,                0.71859,                0.51877,                0.57702,                0.31414,                 1.7507,                 2.6534,                 1.1033,                  1.083,                0.00134,                0.00134,                0.00134
                      7,                 1.6583,                 2.5134,                0.93237,                 1.0139,                0.79784,                0.52335,                0.62442,                0.36836,                0.78187,                0.50275,                0.59383,                0.26903,                 1.6352,                 2.5804,                0.91715,                 1.0456,               0.001208,               0.001208,               0.001208
                      8,                 1.6286,                 2.4734,                0.93009,                 1.0082,                0.81641,                0.52106,                0.62261,                0.36038,                0.79469,                 0.4881,                0.58946,                0.29358,                 1.6456,                 2.5872,                0.91642,                 1.0369,               0.001076,               0.001076,               0.001076
                      9,                 1.6096,                 2.4314,                0.87232,                0.97127,                0.82072,                0.54916,                 0.6386,                0.38739,                 0.7749,                 0.5107,                0.59176,                 0.2779,                 1.5489,                 2.4156,                0.86868,                 1.0172,               0.000944,               0.000944,               0.000944
                     10,                 1.5662,                 2.3973,                 0.8732,                0.98084,                0.81756,                0.55606,                0.64133,                0.38682,                0.78659,                0.51511,                 0.5969,                 0.2769,                 1.5564,                 2.4627,                0.86629,                 1.0165,               0.000812,               0.000812,               0.000812
                     11,                 1.5787,                  2.463,                0.90554,                0.98505,                0.84995,                0.54029,                0.64287,                0.37328,                0.83004,                0.52101,                0.61975,                0.31624,                 1.6348,                 2.4769,                0.89029,                 1.0305,                0.00068,                0.00068,                0.00068
                     12,                 1.5487,                   2.42,                0.84217,                0.98352,                0.81966,                0.54939,                0.64151,                0.38157,                0.81766,                0.52153,                0.61788,                0.31975,                 1.6169,                 2.3951,                0.87178,                 1.0296,               0.000548,               0.000548,               0.000548
                     13,                 1.5371,                 2.4013,                0.82922,                0.97291,                0.84299,                0.54762,                0.65063,                0.39301,                0.82502,                0.52244,                0.61992,                0.30942,                 1.5672,                 2.3889,                0.85298,                 1.0181,               0.000416,               0.000416,               0.000416
                     14,                 1.5031,                 2.3422,                0.80598,                0.96006,                0.83501,                0.55632,                0.65162,                0.39773,                0.82137,                0.52335,                0.61883,                0.31942,                 1.5648,                 2.3469,                0.84359,                 1.0165,               0.000284,               0.000284,               0.000284
